section,round,home_team,away_team,venue,weather,temperature,humidity,broadcasters,attendance,capacity,home_team_score,away_team_score,year,month,day,dayofweek,day_of_week,is_holiday,season,time_of_day,kick_off_hour,prefecture
28,0,13,24,42,12,7.3,43.0,660,37585.0,41684,0,2,2006,3,21,1,1,1,1,0,15.016666666666667,15
28,0,21,5,43,1,13.9,32.0,645,12114.0,20248,1,2,2006,3,21,1,1,1,1,0,15.066666666666666,24
28,0,7,19,25,27,13.4,50.0,89,17341.0,31997,1,2,2006,3,21,1,1,1,1,0,15.066666666666666,6
28,0,10,1,58,1,16.4,24.0,2,14191.0,26827,2,2,2006,3,21,1,1,1,1,0,16.066666666666666,19
28,0,3,11,26,1,9.1,66.0,11,5556.0,20588,2,2,2006,3,21,1,1,1,1,1,19.066666666666666,0
28,1,2,8,23,12,5.9,42.0,127,9019.0,21000,3,1,2006,3,29,2,2,0,1,1,19.033333333333335,7
29,0,8,21,4,1,15.3,31.0,90,7354.0,21500,1,0,2006,3,25,5,5,0,1,0,15.0,5
29,0,24,10,19,1,13.6,58.0,10,11835.0,15165,1,2,2006,3,25,5,5,0,1,0,15.066666666666666,24
29,0,0,13,34,1,12.8,30.0,127,9442.0,47853,3,1,2006,3,25,5,5,0,1,0,15.033333333333333,7
29,0,11,2,41,1,14.3,29.0,89,13067.0,36894,1,3,2006,3,25,5,5,0,1,0,15.066666666666666,12
29,0,19,20,44,1,13.9,45.0,123,50572.0,72081,1,3,2006,3,25,5,5,0,1,0,15.566666666666666,19
29,0,23,26,38,1,11.4,46.0,2,8604.0,15859,1,1,2006,3,25,5,5,0,1,1,18.083333333333332,11
29,0,5,29,16,1,9.9,63.0,10,16546.0,19470,0,1,2006,3,25,5,5,0,1,1,19.066666666666666,4
29,1,6,7,29,1,15.9,44.0,7,11878.0,20223,0,3,2006,3,26,6,6,0,1,0,14.083333333333334,14
29,1,1,3,30,12,16.1,38.0,11,17033.0,48999,2,1,2006,3,26,6,6,0,1,0,16.066666666666666,16
30,0,19,1,44,1,13.8,46.0,127,20977.0,72081,1,1,2006,4,1,5,5,0,1,0,15.033333333333333,19
30,0,0,23,34,12,13.1,33.0,112,6282.0,47853,2,3,2006,4,1,5,5,0,1,0,15.066666666666666,7
30,0,21,2,43,12,10.0,64.0,10,10661.0,20248,2,3,2006,4,1,5,5,0,1,1,19.066666666666666,24
30,1,3,26,26,35,16.0,85.0,3,3670.0,20588,2,1,2006,4,2,6,6,0,1,0,14.066666666666666,0
30,1,29,8,55,14,16.9,69.0,89,11747.0,37496,2,1,2006,4,2,6,6,0,1,0,15.066666666666666,21
30,1,10,5,58,35,15.6,83.0,90,10316.0,26827,2,2,2006,4,2,6,6,0,1,0,15.0,19
30,1,13,11,42,35,10.5,71.0,110,34071.0,41684,1,1,2006,4,2,6,6,0,1,0,15.066666666666666,15
30,1,7,24,25,0,21.2,29.0,10,17406.0,31997,1,2,2006,4,2,6,6,0,1,0,15.066666666666666,6
30,1,20,6,32,14,15.9,79.0,641,44625.0,62010,0,0,2006,4,2,6,6,0,1,0,16.066666666666666,5
31,0,23,13,50,12,7.9,45.0,658,14599.0,20336,0,4,2006,4,8,5,5,0,1,0,14.0,23
31,0,8,19,4,1,17.4,28.0,2,8370.0,21500,2,1,2006,4,8,5,5,0,1,0,15.083333333333334,5
31,0,5,0,16,7,14.8,53.0,127,8770.0,19470,2,1,2006,4,8,5,5,0,1,0,15.033333333333333,4
31,0,6,3,59,0,13.9,37.0,11,15311.0,41255,1,1,2006,4,8,5,5,0,1,0,15.066666666666666,14
31,0,11,10,41,1,19.1,17.0,89,7418.0,36894,1,3,2006,4,8,5,5,0,1,0,15.066666666666666,12
31,0,1,24,30,1,15.5,25.0,117,24214.0,48999,3,1,2006,4,8,5,5,0,1,0,16.05,16
31,0,2,29,23,12,12.9,31.0,10,17967.0,21000,1,0,2006,4,8,5,5,0,1,1,19.066666666666666,7
31,1,21,7,43,1,18.6,37.0,666,10039.0,20248,4,1,2006,4,9,6,6,0,1,0,13.066666666666666,24
31,1,26,20,49,12,20.3,28.0,10,21545.0,22331,0,1,2006,4,9,6,6,0,1,0,15.083333333333334,20
32,0,29,21,55,1,10.4,51.0,127,12361.0,37496,3,1,2006,4,15,5,5,0,1,0,15.033333333333333,21
32,0,20,3,32,1,13.8,35.0,6,40657.0,62010,3,0,2006,4,15,5,5,0,1,0,15.083333333333334,5
32,0,0,26,34,35,12.5,71.0,10,10421.0,47853,0,0,2006,4,15,5,5,0,1,0,15.066666666666666,7
32,0,7,23,25,0,10.6,87.0,106,15138.0,31997,3,2,2006,4,15,5,5,0,1,0,15.066666666666666,6
32,0,13,6,42,9,15.6,24.0,661,39322.0,41684,2,1,2006,4,15,5,5,0,1,0,15.566666666666666,15
32,0,1,5,30,1,12.4,29.0,102,21190.0,48999,2,3,2006,4,15,5,5,0,1,0,16.066666666666666,16
32,0,19,2,44,1,10.7,36.0,10,28885.0,72081,3,4,2006,4,15,5,5,0,1,1,19.066666666666666,19
32,1,10,8,58,12,11.4,69.0,1,11149.0,26827,3,1,2006,4,16,6,6,0,1,0,15.083333333333334,19
32,1,24,11,19,1,18.2,42.0,10,11788.0,15165,3,0,2006,4,16,6,6,0,1,0,15.066666666666666,24
33,0,6,10,29,12,17.0,44.0,90,11810.0,20223,0,2,2006,4,22,5,5,0,1,0,14.0,14
33,0,2,1,23,12,15.8,42.0,127,15103.0,21000,1,0,2006,4,22,5,5,0,1,0,14.05,7
33,0,8,7,4,2,18.3,28.0,90,6162.0,21500,2,2,2006,4,22,5,5,0,1,0,15.0,5
33,0,5,24,16,1,15.8,48.0,2,15184.0,19470,0,0,2006,4,22,5,5,0,1,0,15.083333333333334,4
33,0,3,29,26,12,16.1,50.0,91,12295.0,20588,1,2,2006,4,22,5,5,0,1,0,15.066666666666666,0
33,0,11,0,41,35,10.1,83.0,10,6794.0,36894,1,1,2006,4,22,5,5,0,1,0,15.066666666666666,12
33,0,21,20,60,12,13.5,60.0,10,23406.0,51697,2,1,2006,4,22,5,5,0,1,1,19.066666666666666,24
33,1,23,19,38,12,18.3,55.0,10,14615.0,15859,1,0,2006,4,23,6,6,0,1,0,15.066666666666666,11
33,1,26,13,49,1,18.1,66.0,5,8667.0,22331,2,0,2006,4,23,6,6,0,1,0,15.083333333333334,20
0,0,29,26,55,12,18.8,53.0,90,13450.0,37496,4,1,2006,4,29,5,5,1,1,0,15.0,21
0,0,20,8,32,22,16.1,70.0,15,54774.0,62010,2,0,2006,4,29,5,5,1,1,0,15.066666666666666,5
0,0,10,21,58,37,15.8,76.0,90,13300.0,26827,2,2,2006,4,29,5,5,1,1,0,15.0,19
0,0,19,11,44,12,16.3,78.0,2,20232.0,72081,2,1,2006,4,29,5,5,1,1,0,15.1,19
0,0,0,3,34,1,17.8,48.0,127,20268.0,47853,2,2,2006,4,29,5,5,1,1,0,15.033333333333333,7
0,0,7,5,25,2,21.6,61.0,89,20543.0,31997,0,3,2006,4,29,5,5,1,1,0,15.066666666666666,6
0,0,1,6,30,12,15.2,70.0,10,22188.0,48999,2,1,2006,4,29,5,5,1,1,1,19.066666666666666,16
0,1,24,23,19,1,21.8,63.0,669,14642.0,15165,2,0,2006,4,30,6,6,0,1,0,13.066666666666666,24
0,1,13,2,42,35,19.3,42.0,10,41430.0,41684,1,0,2006,4,30,6,6,0,1,0,15.066666666666666,15
1,0,23,1,38,1,22.4,31.0,111,15427.0,15859,1,3,2006,5,3,2,2,1,1,0,14.066666666666666,11
1,0,29,7,55,1,15.8,46.0,10,22948.0,37496,0,1,2006,5,3,2,2,1,1,0,15.066666666666666,21
1,0,21,0,43,2,17.8,51.0,646,18241.0,20248,1,0,2006,5,3,2,2,1,1,0,15.066666666666666,24
1,0,3,13,26,1,22.8,27.0,96,11221.0,20588,1,1,2006,5,3,2,2,1,1,0,15.066666666666666,0
1,0,26,10,49,1,17.1,54.0,90,11101.0,22331,1,2,2006,5,3,2,2,1,1,0,15.0,20
1,0,8,11,4,1,17.3,36.0,641,9031.0,21500,0,1,2006,5,3,2,2,1,1,0,16.066666666666666,5
1,0,5,20,16,1,14.4,48.0,116,17438.0,19470,2,0,2006,5,3,2,2,1,1,0,16.05,4
1,0,6,19,59,1,14.5,67.0,10,25687.0,41255,1,1,2006,5,3,2,2,1,1,1,19.066666666666666,14
1,1,2,24,56,37,26.9,95.0,10,15343.0,20261,2,2,2006,7,12,2,2,0,2,1,19.066666666666666,18
2,0,1,8,30,1,23.2,45.0,10,25128.0,48999,1,2,2006,5,6,5,5,0,1,0,15.066666666666666,16
2,0,19,5,44,1,22.2,50.0,123,32073.0,72081,1,1,2006,5,6,5,5,0,1,0,15.066666666666666,19
2,0,24,6,60,12,20.0,60.0,121,36376.0,51697,2,2,2006,5,6,5,5,0,1,0,15.066666666666666,24
2,0,7,3,25,0,21.3,68.0,127,21874.0,31997,2,1,2006,5,6,5,5,0,1,0,15.066666666666666,6
2,0,11,26,41,35,16.4,94.0,2,12466.0,36894,1,0,2006,5,6,5,5,0,1,0,17.1,12
2,0,13,21,42,9,17.3,66.0,10,42056.0,41684,4,2,2006,5,6,5,5,0,1,1,19.066666666666666,15
2,0,2,23,23,14,21.4,42.0,2,18193.0,21000,2,0,2006,5,6,5,5,0,1,1,19.083333333333332,7
2,1,20,29,32,35,19.6,79.0,123,56982.0,62010,4,0,2006,5,7,6,6,0,1,0,15.066666666666666,5
2,1,10,0,58,42,18.9,82.0,10,9430.0,26827,1,0,2006,5,7,6,6,0,1,0,15.083333333333334,19
3,0,29,10,55,12,21.4,80.0,2,7427.0,37496,2,4,2006,7,19,2,2,0,2,1,19.066666666666666,21
3,0,8,24,4,12,22.4,83.0,647,5806.0,21500,2,1,2006,7,19,2,2,0,2,1,19.066666666666666,5
3,0,5,2,16,12,21.4,85.0,10,15322.0,19470,1,2,2006,7,19,2,2,0,2,1,19.066666666666666,4
3,0,23,3,38,12,22.3,83.0,90,8025.0,15859,3,1,2006,7,19,2,2,0,2,1,19.066666666666666,11
3,0,13,20,42,1,23.5,76.0,89,38592.0,41684,2,1,2006,7,19,2,2,0,2,1,19.066666666666666,15
3,0,21,19,43,12,22.6,79.0,127,10183.0,20248,1,0,2006,7,19,2,2,0,2,1,19.033333333333335,24
3,0,6,11,29,1,26.5,64.0,663,6760.0,20223,2,3,2006,7,19,2,2,0,2,1,19.016666666666666,14
3,0,0,7,34,12,24.6,79.0,90,6806.0,47853,0,2,2006,7,19,2,2,0,2,1,19.0,7
3,0,26,1,49,35,23.2,96.0,103,12142.0,22331,0,0,2006,7,19,2,2,0,2,1,19.066666666666666,20
4,0,1,29,50,1,25.1,54.0,103,17070.0,20336,2,4,2006,7,22,5,5,0,2,1,18.1,23
4,0,11,5,41,1,24.6,87.0,89,13432.0,36894,2,4,2006,7,22,5,5,0,2,1,18.1,12
4,0,8,23,4,12,24.5,80.0,90,7493.0,21500,3,1,2006,7,22,5,5,0,2,1,19.0,5
4,0,10,20,58,12,24.4,77.0,10,23005.0,26827,0,2,2006,7,22,5,5,0,2,1,19.066666666666666,19
4,0,24,0,19,12,25.1,75.0,132,13524.0,15165,3,1,2006,7,22,5,5,0,2,1,19.033333333333335,24
4,0,2,6,23,12,26.7,75.0,2,17864.0,21000,5,1,2006,7,22,5,5,0,2,1,19.083333333333332,7
4,0,7,13,25,15,26.1,80.0,90,19304.0,31997,4,0,2006,7,22,5,5,0,2,1,19.066666666666666,6
4,1,19,26,44,22,24.8,84.0,2,19223.0,72081,0,0,2006,7,23,6,6,0,2,1,19.083333333333332,19
4,1,3,21,26,35,22.8,98.0,12,9005.0,20588,2,1,2006,7,23,6,6,0,2,1,19.083333333333332,0
5,0,20,7,4,1,28.3,68.0,648,16040.0,21500,1,0,2006,7,26,2,2,0,2,1,19.066666666666666,5
5,0,10,2,58,1,26.8,74.0,89,20425.0,26827,3,2,2006,7,26,2,2,0,2,1,19.083333333333332,19
5,0,13,29,42,1,24.5,73.0,127,39278.0,41684,0,1,2006,7,26,2,2,0,2,1,19.033333333333335,15
5,0,24,19,19,1,25.8,79.0,10,12875.0,15165,3,1,2006,7,26,2,2,0,2,1,19.066666666666666,24
5,0,6,8,29,1,30.4,66.0,90,6618.0,20223,2,0,2006,7,26,2,2,0,2,1,19.0,14
5,0,3,5,26,1,30.5,74.0,97,13225.0,20588,1,2,2006,7,26,2,2,0,2,1,19.066666666666666,0
5,0,0,1,34,1,28.8,83.0,1,8027.0,47853,1,5,2006,7,26,2,2,0,2,1,19.083333333333332,7
5,0,11,23,41,22,25.0,89.0,90,5545.0,36894,1,3,2006,7,26,2,2,0,2,1,19.0,12
5,0,26,21,49,1,28.3,78.0,90,13655.0,22331,1,2,2006,7,26,2,2,0,2,1,19.0,20
6,0,8,3,54,12,29.8,51.0,651,7278.0,15002,1,0,2006,7,29,5,5,0,2,1,18.066666666666666,5
6,0,1,11,30,12,27.7,72.0,104,31684.0,48999,0,2,2006,7,29,5,5,0,2,1,18.566666666666666,16
6,0,23,20,38,12,28.1,62.0,89,17000.0,15859,1,1,2006,7,29,5,5,0,2,1,18.566666666666666,11
6,0,29,0,55,12,24.1,88.0,10,14289.0,37496,2,0,2006,7,29,5,5,0,2,1,19.083333333333332,21
6,0,21,24,60,12,28.0,65.0,9,24920.0,51697,2,0,2006,7,29,5,5,0,2,1,19.083333333333332,24
6,0,2,26,23,1,27.3,75.0,90,14621.0,21000,2,2,2006,7,29,5,5,0,2,1,19.066666666666666,7
6,0,7,10,25,1,29.6,73.0,90,20873.0,31997,1,1,2006,7,29,5,5,0,2,1,19.066666666666666,6
6,1,5,6,16,1,22.8,74.0,2,16961.0,19470,2,3,2006,7,30,6,6,0,2,1,19.066666666666666,4
6,1,19,13,44,12,24.7,59.0,10,24032.0,72081,2,0,2006,7,30,6,6,0,2,1,19.066666666666666,19
7,0,11,21,41,1,27.3,82.0,90,10569.0,36894,1,2,2006,8,12,5,5,0,2,1,18.0,12
7,0,20,1,32,1,24.1,88.0,649,50195.0,62010,4,0,2006,8,12,5,5,0,2,1,19.066666666666666,5
7,0,10,19,58,12,24.1,81.0,1,20144.0,26827,1,1,2006,8,12,5,5,0,2,1,19.066666666666666,19
7,0,13,5,42,1,27.2,59.0,90,41487.0,41684,1,2,2006,8,12,5,5,0,2,1,19.0,15
7,0,24,29,60,12,24.9,80.0,127,30353.0,51697,3,3,2006,8,12,5,5,0,2,1,19.066666666666666,24
7,0,6,23,29,12,27.1,73.0,90,12454.0,20223,5,1,2006,8,12,5,5,0,2,1,19.016666666666666,14
7,0,3,2,26,1,27.3,76.0,98,16089.0,20588,1,4,2006,8,12,5,5,0,2,1,19.066666666666666,0
7,0,0,8,34,1,29.4,69.0,90,12616.0,47853,0,1,2006,8,12,5,5,0,2,1,19.0,7
7,0,26,7,49,1,28.7,75.0,10,18205.0,22331,0,2,2006,8,12,5,5,0,2,1,19.066666666666666,20
8,0,29,20,55,12,27.8,82.0,10,34236.0,37496,2,2,2006,8,19,5,5,0,2,1,19.066666666666666,21
8,0,8,2,4,1,30.4,66.0,648,11355.0,21500,0,2,2006,8,19,5,5,0,2,1,19.066666666666666,5
8,0,13,10,42,1,29.8,83.0,89,38611.0,41684,2,1,2006,8,19,5,5,0,2,1,19.066666666666666,15
8,0,21,23,43,1,27.4,80.0,664,15410.0,20248,4,0,2006,8,19,5,5,0,2,1,19.066666666666666,24
8,0,6,24,29,1,28.4,80.0,654,14392.0,20223,3,1,2006,8,19,5,5,0,2,1,19.0,14
8,0,0,19,34,12,30.6,66.0,127,18609.0,47853,2,0,2006,8,19,5,5,0,2,1,19.033333333333335,7
8,0,26,3,49,12,24.4,84.0,90,10387.0,22331,4,5,2006,8,19,5,5,0,2,1,19.0,20
8,1,11,7,41,1,27.9,82.0,2,10145.0,36894,0,1,2006,8,20,6,6,0,2,1,18.083333333333332,12
8,1,5,1,16,1,27.3,89.0,10,17261.0,19470,3,4,2006,8,20,6,6,0,2,1,19.066666666666666,4
9,0,20,13,32,1,27.6,84.0,647,34417.0,62010,3,1,2006,8,23,2,2,0,2,1,19.066666666666666,5
9,0,1,26,31,12,28.6,64.0,103,18533.0,54224,5,1,2006,8,23,2,2,0,2,1,19.066666666666666,16
9,0,10,6,58,12,28.8,67.0,90,11306.0,26827,4,2,2006,8,23,2,2,0,2,1,19.016666666666666,19
9,0,19,8,52,12,27.1,80.0,1,11623.0,15440,1,2,2006,8,23,2,2,0,2,1,19.083333333333332,19
9,0,23,29,38,12,27.3,76.0,89,12115.0,15859,2,1,2006,8,23,2,2,0,2,1,19.066666666666666,11
9,0,24,5,19,12,27.6,81.0,127,11992.0,15165,3,1,2006,8,23,2,2,0,2,1,19.033333333333335,24
9,0,3,0,26,1,27.5,61.0,97,11291.0,20588,4,4,2006,8,23,2,2,0,2,1,19.066666666666666,0
9,0,2,11,23,1,27.4,55.0,10,17826.0,21000,3,2,2006,8,23,2,2,0,2,1,19.066666666666666,7
9,0,7,21,25,1,29.3,70.0,90,18864.0,31997,3,3,2006,8,23,2,2,0,2,1,19.066666666666666,6
11,0,8,10,54,12,25.5,72.0,127,9076.0,15002,1,5,2006,8,26,5,5,0,2,1,18.05,5
11,0,29,11,55,12,26.0,64.0,90,14052.0,37496,0,2,2006,8,26,5,5,0,2,1,18.5,21
11,0,23,24,38,35,25.1,75.0,90,14227.0,15859,1,1,2006,8,26,5,5,0,2,1,18.566666666666666,11
11,0,13,7,42,1,27.0,62.0,10,40466.0,41684,3,3,2006,8,26,5,5,0,2,1,19.066666666666666,15
11,0,21,1,43,12,26.8,58.0,89,16177.0,20248,2,0,2006,8,26,5,5,0,2,1,19.066666666666666,24
11,0,0,20,34,12,29.3,69.0,2,23386.0,47853,1,2,2006,8,26,5,5,0,2,1,19.083333333333332,7
11,0,26,5,49,1,26.6,86.0,122,17738.0,22331,1,3,2006,8,26,5,5,0,2,1,19.0,20
11,1,6,2,29,12,27.0,73.0,8,17556.0,20223,3,3,2006,8,27,6,6,0,2,1,19.083333333333332,14
11,1,3,19,26,12,26.3,89.0,11,8886.0,20588,0,4,2006,8,27,6,6,0,2,1,19.066666666666666,0
12,0,5,10,16,12,24.2,82.0,90,11433.0,19470,1,2,2006,8,30,2,2,0,2,1,18.5,4
12,0,29,6,55,12,24.4,84.0,1,9457.0,37496,2,1,2006,8,30,2,2,0,2,1,18.983333333333334,21
12,0,8,26,4,12,25.9,68.0,650,4873.0,21500,2,2,2006,8,30,2,2,0,2,1,19.066666666666666,5
12,0,1,0,31,12,26.3,60.0,100,21041.0,54224,2,3,2006,8,30,2,2,0,2,1,19.066666666666666,16
12,0,19,23,52,37,25.1,74.0,2,12384.0,15440,3,0,2006,8,30,2,2,0,2,1,19.083333333333332,19
12,0,21,3,43,12,26.7,83.0,90,9249.0,20248,1,0,2006,8,30,2,2,0,2,1,19.0,24
12,0,2,13,23,12,26.1,63.0,127,13979.0,21000,3,0,2006,8,30,2,2,0,2,1,19.05,7
12,0,11,24,41,12,25.4,80.0,89,9513.0,36894,2,1,2006,8,30,2,2,0,2,1,19.066666666666666,12
12,0,7,20,25,0,25.7,90.0,10,27843.0,31997,2,1,2006,8,30,2,2,0,2,1,19.066666666666666,6
13,0,19,10,44,2,29.3,68.0,117,22769.0,72081,1,2,2006,9,9,5,5,0,0,0,16.066666666666666,19
13,0,11,6,41,12,25.6,90.0,127,9299.0,36894,0,0,2006,9,9,5,5,0,0,1,18.033333333333335,12
13,0,1,23,30,12,27.5,79.0,103,21382.0,48999,1,3,2006,9,9,5,5,0,0,1,18.566666666666666,16
13,0,5,21,16,12,26.2,86.0,2,13463.0,19470,1,3,2006,9,9,5,5,0,0,1,19.066666666666666,4
13,0,24,13,19,1,27.0,90.0,90,11471.0,15165,7,0,2006,9,9,5,5,0,0,1,19.0,24
13,0,2,0,23,1,29.4,64.0,19,20463.0,21000,3,1,2006,9,9,5,5,0,0,1,19.066666666666666,7
13,0,7,26,25,0,25.8,86.0,89,26841.0,31997,0,0,2006,9,9,5,5,0,0,1,19.066666666666666,6
13,1,29,3,55,1,27.3,77.0,10,9142.0,37496,1,0,2006,9,10,6,6,0,0,1,19.066666666666666,21
13,1,8,20,32,1,28.6,75.0,648,35059.0,62010,0,2,2006,9,10,6,6,0,0,1,19.083333333333332,5
14,0,3,1,26,12,26.1,59.0,94,8440.0,20588,1,0,2006,9,16,5,5,0,0,0,14.066666666666666,0
14,0,7,2,25,28,26.3,88.0,107,25384.0,31997,0,2,2006,9,16,5,5,0,0,0,14.066666666666666,6
14,0,21,29,31,12,25.3,46.0,14,20800.0,54224,1,2,2006,9,16,5,5,0,0,0,15.066666666666666,16
14,0,20,11,32,12,21.3,76.0,648,39123.0,62010,2,1,2006,9,16,5,5,0,0,1,19.066666666666666,5
14,0,6,13,29,12,24.2,58.0,90,9308.0,20223,3,1,2006,9,16,5,5,0,0,1,19.0,14
14,0,0,5,34,1,25.0,57.0,89,19036.0,47853,3,2,2006,9,16,5,5,0,0,1,19.066666666666666,7
14,0,26,19,49,37,23.1,88.0,20,12519.0,22331,1,3,2006,9,16,5,5,0,0,1,19.066666666666666,20
14,1,10,24,58,35,21.3,88.0,10,15482.0,26827,3,4,2006,9,17,6,6,0,0,1,19.066666666666666,19
14,1,23,8,38,12,22.3,79.0,2,10150.0,15859,3,2,2006,9,17,6,6,0,0,1,19.066666666666666,11
15,0,20,21,32,1,23.3,58.0,18,48378.0,62010,1,0,2006,9,23,5,5,1,0,0,15.066666666666666,5
15,0,19,6,44,1,23.6,42.0,2,21665.0,72081,2,1,2006,9,23,5,5,1,0,0,15.083333333333334,19
15,0,26,0,49,1,22.9,55.0,130,12654.0,22331,1,0,2006,9,23,5,5,1,0,0,15.033333333333333,20
15,0,24,7,19,9,25.2,43.0,667,11218.0,15165,2,3,2006,9,23,5,5,1,0,0,15.566666666666666,24
15,0,11,8,41,1,25.3,41.0,90,10265.0,36894,1,0,2006,9,23,5,5,1,0,0,16.0,12
15,0,5,3,16,27,20.3,64.0,91,10857.0,19470,2,0,2006,9,23,5,5,1,0,1,18.566666666666666,4
15,0,2,10,23,1,19.8,57.0,21,17544.0,21000,4,0,2006,9,23,5,5,1,0,1,19.05,7
15,1,29,1,55,1,23.0,52.0,2,17398.0,37496,3,2,2006,9,24,6,6,0,0,0,15.066666666666666,21
15,1,13,23,42,1,21.4,47.0,10,40422.0,41684,3,0,2006,9,24,6,6,0,0,0,15.066666666666666,15
16,0,1,13,30,1,25.3,49.0,104,24136.0,48999,1,4,2006,9,30,5,5,0,0,0,15.05,16
16,0,10,11,58,12,24.7,54.0,10,12029.0,26827,3,3,2006,9,30,5,5,0,0,0,15.066666666666666,19
16,0,19,24,44,12,24.3,53.0,125,25435.0,72081,0,1,2006,9,30,5,5,0,0,0,15.066666666666666,19
16,0,3,20,26,1,23.4,49.0,95,16492.0,20588,1,5,2006,9,30,5,5,0,0,0,17.066666666666666,0
16,0,5,7,16,1,21.8,80.0,90,10609.0,19470,2,1,2006,9,30,5,5,0,0,1,18.516666666666666,4
16,0,8,6,4,12,22.3,78.0,10,8223.0,21500,1,4,2006,9,30,5,5,0,0,1,19.066666666666666,5
16,0,0,29,34,1,23.8,45.0,89,15186.0,47853,2,2,2006,9,30,5,5,0,0,1,19.066666666666666,7
16,1,23,2,38,35,19.8,76.0,10,15462.0,15859,3,2,2006,10,1,6,6,0,0,0,15.066666666666666,11
16,1,21,26,43,35,19.5,81.0,666,10807.0,20248,4,0,2006,10,1,6,6,0,0,0,15.066666666666666,24
17,0,3,8,26,1,21.6,68.0,99,5237.0,20588,1,1,2006,10,6,4,4,0,0,1,19.083333333333332,0
17,1,20,5,32,1,23.0,45.0,119,48952.0,62010,2,0,2006,10,7,5,5,0,0,0,15.066666666666666,5
17,1,10,7,58,1,24.0,40.0,90,10282.0,26827,2,1,2006,10,7,5,5,0,0,0,15.016666666666667,19
17,1,23,11,38,1,18.9,45.0,2,10222.0,15859,1,0,2006,10,7,5,5,0,0,1,18.083333333333332,11
